DISTRICT,DISTNAME,DPNT504C,DPNT504P,DPNTALLC,DPNTASIC,DPNTASIP,DPNTBLAC,DPNTBLAP,DPNTDSLC,DPNTDSLP,DPNTECOC,DPNTECOP,DPNTFEMC,DPNTFEMP,DPNTFOSC,DPNTFOSP,DPNTHISC,DPNTHISP,DPNTHOMC,DPNTHOMP,DPNTIMMC,DPNTIMMP,DPNTINDC,DPNTINDP,DPNTLEPC,DPNTLEPP,DPNTMALC,DPNTMALP,DPNTMIGC,DPNTMIGP,DPNTMLCC,DPNTMLCP,DPNTNEDC,DPNTNEDP,DPNTPCIC,DPNTPCIP,DPNTRSKC,DPNTRSKP,DPNTTT1C,DPNTTT1P,DPNTTWOC,DPNTTWOP,DPNTWHIC,DPNTWHIP
"'033901","GROOM ISD",23,16.8,137,1,0.7,1,0.7,22,16.1,32,23.4,68,49.6,3,2.2,15,10.9,2,1.5,0,0,1,0.7,2,1.5,69,50.4,0,0,3,2.2,105,76.6,0,0,30,21.9,137,100,2,1.5,117,85.4
"'033902","PANHANDLE ISD",91,13.6,669,3,0.4,5,0.7,92,13.8,201,30,327,48.9,8,1.2,59,8.8,14,2.1,0,0,4,0.6,6,0.9,342,51.1,0,0,66,9.9,468,70,0,0,241,36,313,46.8,13,1.9,585,87.4
"'033904","WHITE DEER ISD",23,6.2,373,1,0.3,0,0,25,6.7,175,46.9,179,48,2,0.5,63,16.9,12,3.2,0,0,2,0.5,14,3.8,194,52,0,0,4,1.1,198,53.1,0,0,112,30,373,100,2,0.5,305,81.8
"'034901","ATLANTA ISD",182,9.8,1848,14,0.8,589,31.9,119,6.4,1275,69,874,47.3,7,0.4,164,8.9,76,4.1,0,0,8,0.4,34,1.8,974,52.7,0,0,12,0.6,573,31,0,0,522,28.2,1847,99.9,108,5.8,965,52.2
"'034902","AVINGER ISD",12,8.6,140,1,0.7,21,15,6,4.3,116,82.9,62,44.3,1,0.7,9,6.4,0,0,0,0,3,2.1,2,1.4,78,55.7,0,0,0,0,24,17.1,0,0,46,32.9,140,100,9,6.4,97,69.3
"'034903","HUGHES SPRINGS ISD",179,16,1121,5,0.4,116,10.3,121,10.8,598,53.3,547,48.8,8,0.7,138,12.3,10,0.9,0,0,3,0.3,40,3.6,574,51.2,0,0,2,0.2,523,46.7,1,0.1,557,49.7,1121,100,25,2.2,833,74.3
"'034905","LINDEN-KILDARE CISD",77,12.3,626,3,0.5,102,16.3,50,8,390,62.3,311,49.7,0,0,49,7.8,0,0,0,0,1,0.2,29,4.6,315,50.3,0,0,14,2.2,236,37.7,0,0,180,28.8,626,100,36,5.8,435,69.5
"'034906","MCLEOD ISD",51,12.9,396,0,0,5,1.3,57,14.4,159,40.2,202,51,0,0,15,3.8,0,0,0,0,2,0.5,0,0,194,49,0,0,0,0,237,59.8,0,0,185,46.7,396,100,16,4,358,90.4
"'034907","QUEEN CITY ISD",156,16.3,959,2,0.2,131,13.7,98,10.2,557,58.1,466,48.6,0,0,33,3.4,41,4.3,0,0,11,1.1,2,0.2,493,51.4,0,0,3,0.3,402,41.9,0,0,488,50.9,959,100,41,4.3,741,77.3
"'034909","BLOOMBURG ISD",18,7.2,250,3,1.2,8,3.2,22,8.8,207,82.8,137,54.8,0,0,11,4.4,0,0,0,0,0,0,4,1.6,113,45.2,0,0,0,0,43,17.2,0,0,120,48,250,100,2,0.8,226,90.4
"'035901","DIMMITT ISD",34,2.9,1182,5,0.4,10,0.8,20,1.7,842,71.2,583,49.3,1,0.1,1070,90.5,12,1,27,2.3,0,0,289,24.5,599,50.7,42,3.6,15,1.3,340,28.8,0,0,628,53.1,1181,99.9,2,0.2,95,8
"'035902","HART ISD",7,3.3,212,0,0,0,0,4,1.9,174,82.1,106,50,0,0,198,93.4,31,14.6,0,0,0,0,52,24.5,106,50,19,9,0,0,38,17.9,0,0,134,63.2,212,100,1,0.5,13,6.1
"'035903","NAZARETH ISD",17,6.8,250,0,0,1,0.4,17,6.8,35,14,123,49.2,0,0,22,8.8,0,0,0,0,3,1.2,2,0.8,127,50.8,0,0,5,2,215,86,0,0,29,11.6,250,100,6,2.4,218,87.2
"'036901","ANAHUAC ISD",103,7.8,1326,25,1.9,141,10.6,62,4.7,614,46.3,628,47.4,4,0.3,459,34.6,42,3.2,3,0.2,2,0.2,92,6.9,698,52.6,0,0,65,4.9,712,53.7,0,0,423,31.9,932,70.3,60,4.5,639,48.2
"'036902","BARBERS HILL ISD",406,6.3,6424,86,1.3,228,3.5,243,3.8,1573,24.5,3153,49.1,12,0.2,1693,26.4,15,0.2,22,0.3,20,0.3,240,3.7,3271,50.9,0,0,564,8.8,4851,75.5,0,0,1976,30.8,3130,48.7,205,3.2,4192,65.3
"'036903","EAST CHAMBERS ISD",98,6.5,1509,12,0.8,114,7.6,74,4.9,856,56.7,691,45.8,0,0,708,46.9,22,1.5,7,0.5,1,0.1,406,26.9,818,54.2,0,0,38,2.5,653,43.3,1,0.1,562,37.2,483,32,39,2.6,634,42
"'037901","ALTO ISD",64,10.5,609,3,0.5,127,20.9,33,5.4,475,78,298,48.9,4,0.7,210,34.5,39,6.4,0,0,0,0,121,19.9,311,51.1,6,1,5,0.8,134,22,0,0,305,50.1,609,100,47,7.7,222,36.5
"'037904","JACKSONVILLE ISD",473,10.1,4668,21,0.4,730,15.6,259,5.5,3757,80.5,2225,47.7,27,0.6,2525,54.1,16,0.3,41,0.9,20,0.4,1450,31.1,2443,52.3,0,0,3,0.1,911,19.5,4,0.1,3762,80.6,4668,100,141,3,1227,26.3
"'037907","RUSK ISD",200,10.2,1969,5,0.3,252,12.8,103,5.2,1244,63.2,963,48.9,13,0.7,370,18.8,13,0.7,5,0.3,2,0.1,151,7.7,1006,51.1,2,0.1,11,0.6,725,36.8,0,0,1013,51.4,1378,70,83,4.2,1257,63.8
"'037908","NEW SUMMERFIELD ISD",63,11.9,529,3,0.6,15,2.8,54,10.2,493,93.2,241,45.6,3,0.6,452,85.4,0,0,3,0.6,1,0.2,250,47.3,288,54.4,0,0,0,0,36,6.8,0,0,353,66.7,529,100,1,0.2,57,10.8
"'037909","WELLS ISD",24,9.1,263,0,0,24,9.1,12,4.6,186,70.7,125,47.5,0,0,32,12.2,6,2.3,0,0,0,0,16,6.1,138,52.5,0,0,5,1.9,77,29.3,0,0,181,68.8,263,100,13,4.9,194,73.8
"'038901","CHILDRESS ISD",105,10.5,997,16,1.6,47,4.7,32,3.2,636,63.8,461,46.2,6,0.6,375,37.6,10,1,4,0.4,4,0.4,36,3.6,536,53.8,0,0,8,0.8,361,36.2,0,0,382,38.3,997,100,28,2.8,527,52.9
"'039902","HENRIETTA ISD",96,10.6,908,3,0.3,2,0.2,72,7.9,325,35.8,436,48,0,0,86,9.5,3,0.3,0,0,6,0.7,6,0.7,472,52,0,0,32,3.5,583,64.2,0,0,341,37.6,418,46,22,2.4,789,86.9
"'039903","PETROLIA CISD",52,11.7,446,0,0,1,0.2,41,9.2,288,64.6,200,44.8,4,0.9,54,12.1,37,8.3,0,0,6,1.3,3,0.7,246,55.2,0,0,9,2,158,35.4,0,0,95,21.3,255,57.2,15,3.4,370,83
"'039904","BELLEVUE ISD",15,10.3,145,0,0,1,0.7,18,12.4,79,54.5,67,46.2,1,0.7,11,7.6,4,2.8,0,0,0,0,2,1.4,78,53.8,0,0,0,0,66,45.5,0,0,46,31.7,145,100,3,2.1,130,89.7
"'039905","MIDWAY ISD",7,5.3,132,0,0,0,0,14,10.6,92,69.7,67,50.8,0,0,7,5.3,14,10.6,0,0,0,0,4,3,65,49.2,0,0,11,8.3,40,30.3,0,0,23,17.4,132,100,1,0.8,124,93.9
"'040901","MORTON ISD",17,4.5,374,0,0,1,0.3,13,3.5,304,81.3,183,48.9,2,0.5,331,88.5,9,2.4,2,0.5,2,0.5,74,19.8,191,51.1,1,0.3,3,0.8,70,18.7,0,0,184,49.2,374,100,5,1.3,35,9.4
"'040902","WHITEFACE CISD",29,8.6,339,0,0,4,1.2,8,2.4,203,59.9,168,49.6,0,0,187,55.2,0,0,0,0,4,1.2,35,10.3,171,50.4,0,0,0,0,136,40.1,0,0,138,40.7,339,100,6,1.8,138,40.7
"'041901","BRONTE ISD",25,10.4,240,0,0,0,0,24,10,112,46.7,109,45.4,0,0,62,25.8,0,0,0,0,0,0,3,1.3,131,54.6,0,0,1,0.4,128,53.3,0,0,47,19.6,240,100,3,1.3,175,72.9
"'041902","ROBERT LEE ISD",4,1.6,258,0,0,2,0.8,5,1.9,173,67.1,132,51.2,7,2.7,114,44.2,4,1.6,0,0,0,0,2,0.8,126,48.8,0,0,5,1.9,85,32.9,0,0,111,43,252,97.7,4,1.6,138,53.5
"'042901","COLEMAN ISD",140,16.6,842,10,1.2,13,1.5,112,13.3,477,56.7,425,50.5,16,1.9,223,26.5,31,3.7,0,0,2,0.2,14,1.7,417,49.5,0,0,1,0.1,365,43.3,0,0,351,41.7,605,71.9,32,3.8,562,66.7
"'042903","SANTA ANNA ISD",42,15.8,265,0,0,10,3.8,28,10.6,257,97,122,46,6,2.3,71,26.8,14,5.3,0,0,2,0.8,0,0,143,54,0,0,23,8.7,8,3,0,0,77,29.1,265,100,12,4.5,170,64.2
"'042905","PANTHER CREEK CISD",7,4.5,156,1,0.6,2,1.3,9,5.8,107,68.6,74,47.4,6,3.8,28,17.9,3,1.9,0,0,0,0,0,0,82,52.6,0,0,4,2.6,49,31.4,0,0,42,26.9,155,99.4,1,0.6,124,79.5
"'043801","IMAGINE INTERNATIONAL ACADEMY OF N",92,6.4,1435,582,40.6,220,15.3,47,3.3,122,8.5,732,51,0,0,208,14.5,0,0,0,0,7,0.5,156,10.9,703,49,0,0,10,0.7,1313,91.5,2,0.1,177,12.3,0,0,65,4.5,351,24.5
"'043802","LONE STAR LANGUAGE ACADEMY",4,1.9,206,86,41.7,19,9.2,1,0.5,0,0,107,51.9,0,0,15,7.3,0,0,32,15.5,0,0,25,12.1,99,48.1,0,0,2,1,206,100,0,0,27,13.1,0,0,4,1.9,82,39.8
"'043901","ALLEN ISD",2377,11,21617,5210,24.1,2777,12.8,1517,7,4908,22.7,10614,49.1,28,0.1,3156,14.6,24,0.1,856,4,101,0.5,1829,8.5,11003,50.9,0,0,1096,5.1,16709,77.3,68,0.3,5189,24,1098,5.1,1123,5.2,9182,42.5
"'043902","ANNA ISD",533,13.4,3979,49,1.2,559,14,306,7.7,1926,48.4,1900,47.8,16,0.4,1334,33.5,20,0.5,40,1,13,0.3,500,12.6,2079,52.2,5,0.1,229,5.8,2053,51.6,5,0.1,1504,37.8,1832,46,201,5.1,1818,45.7
"'043903","CELINA ISD",383,12.9,2962,41,1.4,117,4,142,4.8,575,19.4,1444,48.8,5,0.2,739,24.9,21,0.7,15,0.5,26,0.9,210,7.1,1518,51.2,0,0,61,2.1,2387,80.6,0,0,761,25.7,803,27.1,154,5.2,1885,63.6
"'043904","FARMERSVILLE ISD",157,8.3,1884,17,0.9,64,3.4,120,6.4,1003,53.2,931,49.4,11,0.6,795,42.2,8,0.4,34,1.8,6,0.3,286,15.2,953,50.6,0,0,12,0.6,881,46.8,3,0.2,425,22.6,850,45.1,49,2.6,950,50.4
"'043905","FRISCO ISD",5541,8.7,63493,21336,33.6,7277,11.5,3150,5,8220,12.9,30834,48.6,26,0,8384,13.2,62,0.1,2459,3.9,353,0.6,4572,7.2,32659,51.4,0,0,1251,2,55273,87.1,47,0.1,14288,22.5,6482,10.2,2923,4.6,23173,36.5
"'043907","MCKINNEY ISD",3109,13.3,23398,1172,5,3608,15.4,2016,8.6,7769,33.2,11414,48.8,52,0.2,6736,28.8,345,1.5,367,1.6,99,0.4,2786,11.9,11984,51.2,1,0,1278,5.5,15629,66.8,38,0.2,6791,29,3696,15.8,1017,4.3,10728,45.9
"'043908","MELISSA ISD",457,11.1,4104,134,3.3,571,13.9,282,6.9,628,15.3,1976,48.1,7,0.2,777,18.9,19,0.5,27,0.7,24,0.6,243,5.9,2128,51.9,2,0,100,2.4,3476,84.7,3,0.1,833,20.3,1938,47.2,244,5.9,2351,57.3
"'043910","PLANO ISD",3673,7.3,50154,12189,24.3,6547,13.1,1804,3.6,17859,35.6,24355,48.6,28,0.1,13301,26.5,169,0.3,2681,5.3,134,0.3,9327,18.6,25799,51.4,0,0,1572,3.1,32295,64.4,26,0.1,14158,28.2,14264,28.4,2180,4.3,15777,31.5
"'043911","PRINCETON ISD",446,7.7,5818,94,1.6,768,13.2,349,6,2962,50.9,2866,49.3,24,0.4,2685,46.1,21,0.4,55,0.9,35,0.6,1099,18.9,2952,50.7,1,0,18,0.3,2856,49.1,7,0.1,2343,40.3,2611,44.9,224,3.9,2005,34.5
"'043912","PROSPER ISD",1928,10.1,19138,2506,13.1,1813,9.5,840,4.4,1623,8.5,9393,49.1,38,0.2,2563,13.4,20,0.1,228,1.2,53,0.3,1203,6.3,9745,50.9,0,0,333,1.7,17515,91.5,15,0.1,4017,21,3235,16.9,1476,7.7,10712,56
"'043914","WYLIE ISD",1814,10.4,17482,2044,11.7,2664,15.2,1009,5.8,4694,26.9,8580,49.1,28,0.2,3930,22.5,71,0.4,268,1.5,71,0.4,1986,11.4,8902,50.9,0,0,1205,6.9,12788,73.1,24,0.1,4168,23.8,2600,14.9,777,4.4,7972,45.6
"'043917","BLUE RIDGE ISD",96,10.8,888,0,0,4,0.5,88,9.9,385,43.4,444,50,2,0.2,266,30,1,0.1,8,0.9,3,0.3,62,7,444,50,0,0,1,0.1,503,56.6,0,0,325,36.6,874,98.4,39,4.4,576,64.9
"'043918","COMMUNITY ISD",261,9.5,2757,37,1.3,197,7.1,181,6.6,1314,47.7,1343,48.7,6,0.2,1057,38.3,50,1.8,8,0.3,9,0.3,596,21.6,1414,51.3,0,0,20,0.7,1443,52.3,2,0.1,1007,36.5,1466,53.2,94,3.4,1361,49.4
"'043919","LOVEJOY ISD",502,11.9,4206,362,8.6,129,3.1,215,5.1,148,3.5,2005,47.7,2,0,364,8.7,7,0.2,20,0.5,24,0.6,40,1,2201,52.3,0,0,39,0.9,4058,96.5,1,0,458,10.9,7,0.2,214,5.1,3112,74
"'044902","WELLINGTON ISD",19,3.5,542,0,0,25,4.6,13,2.4,355,65.5,272,50.2,2,0.4,255,47,0,0,0,0,0,0,44,8.1,270,49.8,16,3,0,0,187,34.5,0,0,244,45,542,100,10,1.8,252,46.5
"'045902","COLUMBUS ISD",100,6.5,1536,10,0.7,154,10,54,3.5,826,53.8,736,47.9,0,0,704,45.8,16,1,22,1.4,2,0.1,219,14.3,800,52.1,12,0.8,8,0.5,710,46.2,0,0,811,52.8,696,45.3,29,1.9,637,41.5
"'045903","RICE CISD",137,10.6,1289,5,0.4,203,15.7,51,4,987,76.6,613,47.6,0,0,782,60.7,37,2.9,23,1.8,2,0.2,103,8,676,52.4,3,0.2,16,1.2,302,23.4,0,0,669,51.9,1289,100,25,1.9,272,21.1
"'045905","WEIMAR ISD",71,10.6,670,0,0,68,10.1,24,3.6,387,57.8,331,49.4,0,0,306,45.7,22,3.3,0,0,3,0.4,126,18.8,339,50.6,0,0,4,0.6,283,42.2,0,0,277,41.3,479,71.5,12,1.8,281,41.9
"'046802","TRINITY CHARTER SCHOOL",50,12.5,400,1,0.3,72,18,10,2.5,400,100,175,43.8,270,67.5,138,34.5,0,0,0,0,2,0.5,21,5.3,225,56.3,0,0,0,0,0,0,0,0,400,100,400,100,10,2.5,177,44.3
"'046901","NEW BRAUNFELS ISD",1033,11.1,9282,90,1,183,2,524,5.6,3717,40,4501,48.5,75,0.8,4419,47.6,178,1.9,62,0.7,27,0.3,797,8.6,4781,51.5,0,0,628,6.8,5565,60,9,0.1,3701,39.9,2190,23.6,272,2.9,4282,46.1
"'046902","COMAL ISD",2355,9.3,25459,357,1.4,681,2.7,1169,4.6,7935,31.2,12296,48.3,85,0.3,10203,40.1,163,0.6,15,0.1,55,0.2,1351,5.3,13163,51.7,10,0,2160,8.5,17524,68.8,34,0.1,8631,33.9,4107,16.1,954,3.7,13175,51.7
"'047901","COMANCHE ISD",103,7.8,1318,6,0.5,5,0.4,68,5.2,883,67,646,49,11,0.8,693,52.6,38,2.9,9,0.7,5,0.4,220,16.7,672,51,16,1.2,25,1.9,435,33,0,0,728,55.2,625,47.4,13,1,596,45.2
"'047902","DE LEON ISD",68,9.2,739,5,0.7,4,0.5,57,7.7,458,62,357,48.3,3,0.4,266,36,36,4.9,0,0,0,0,45,6.1,382,51.7,7,0.9,12,1.6,281,38,0,0,292,39.5,739,100,13,1.8,451,61
"'047903","GUSTINE ISD",7,4.7,150,0,0,1,0.7,7,4.7,101,67.3,77,51.3,0,0,99,66,3,2,2,1.3,0,0,59,39.3,73,48.7,10,6.7,1,0.7,49,32.7,0,0,87,58,150,100,0,0,50,33.3
"'047905","SIDNEY ISD",7,4.9,142,0,0,0,0,2,1.4,96,67.6,65,45.8,3,2.1,37,26.1,11,7.7,0,0,0,0,0,0,77,54.2,0,0,0,0,46,32.4,0,0,53,37.3,142,100,3,2.1,102,71.8
"'048901","EDEN CISD",15,6.5,232,3,1.3,2,0.9,8,3.4,140,60.3,104,44.8,1,0.4,147,63.4,2,0.9,1,0.4,0,0,10,4.3,128,55.2,0,0,0,0,92,39.7,0,0,136,58.6,228,98.3,2,0.9,78,33.6
"'048903","PAINT ROCK ISD",24,10.1,237,2,0.8,1,0.4,16,6.8,171,72.2,106,44.7,2,0.8,120,50.6,1,0.4,0,0,0,0,13,5.5,131,55.3,9,3.8,1,0.4,66,27.8,0,0,131,55.3,226,95.4,5,2.1,109,46
"'049901","GAINESVILLE ISD",148,4.8,3057,26,0.9,182,6,74,2.4,2247,73.5,1479,48.4,11,0.4,1818,59.5,9,0.3,33,1.1,12,0.4,822,26.9,1578,51.6,0,0,6,0.2,810,26.5,0,0,1712,56,2216,72.5,138,4.5,881,28.8
"'049902","MUENSTER ISD",7,1.3,524,4,0.8,2,0.4,10,1.9,93,17.7,252,48.1,0,0,27,5.2,0,0,0,0,1,0.2,4,0.8,272,51.9,0,0,0,0,431,82.3,1,0.2,104,19.8,524,100,16,3.1,473,90.3
"'049903","VALLEY VIEW ISD",79,8.9,886,0,0,3,0.3,68,7.7,401,45.3,440,49.7,0,0,287,32.4,9,1,1,0.1,4,0.5,117,13.2,446,50.3,2,0.2,0,0,485,54.7,1,0.1,304,34.3,886,100,23,2.6,568,64.1
"'049905","CALLISBURG ISD",113,10,1131,2,0.2,12,1.1,81,7.2,474,41.9,546,48.3,7,0.6,175,15.5,2,0.2,5,0.4,3,0.3,32,2.8,585,51.7,0,0,16,1.4,657,58.1,0,0,235,20.8,1131,100,32,2.8,907,80.2
"'049906","ERA ISD",16,3.4,472,1,0.2,0,0,16,3.4,171,36.2,233,49.4,6,1.3,55,11.7,0,0,0,0,1,0.2,7,1.5,239,50.6,0,0,23,4.9,301,63.8,0,0,202,42.8,469,99.4,17,3.6,398,84.3
"'049907","LINDSAY ISD",20,4.1,489,9,1.8,3,0.6,37,7.6,48,9.8,239,48.9,0,0,14,2.9,0,0,0,0,4,0.8,0,0,250,51.1,0,0,19,3.9,441,90.2,0,0,53,10.8,42,8.6,6,1.2,453,92.6
"'049908","WALNUT BEND ISD",2,3.4,58,0,0,0,0,0,0,37,63.8,26,44.8,0,0,20,34.5,0,0,0,0,0,0,5,8.6,32,55.2,0,0,1,1.7,21,36.2,0,0,6,10.3,58,100,2,3.4,36,62.1
"'049909","SIVELLS BEND ISD",0,0,49,0,0,1,2,2,4.1,29,59.2,27,55.1,0,0,7,14.3,0,0,0,0,1,2,0,0,22,44.9,0,0,0,0,20,40.8,0,0,31,63.3,49,100,1,2,39,79.6
"'050901","EVANT ISD",28,10.3,273,0,0,3,1.1,22,8.1,157,57.5,147,53.8,0,0,78,28.6,0,0,0,0,0,0,23,8.4,126,46.2,11,4,1,0.4,116,42.5,0,0,161,59,273,100,5,1.8,187,68.5
"'050902","GATESVILLE ISD",446,16,2790,19,0.7,86,3.1,286,10.3,1668,59.8,1371,49.1,20,0.7,627,22.5,11,0.4,12,0.4,13,0.5,117,4.2,1419,50.9,1,0,301,10.8,1122,40.2,2,0.1,1323,47.4,1527,54.7,134,4.8,1909,68.4
"'050904","OGLESBY ISD",21,11.4,185,0,0,1,0.5,11,5.9,112,60.5,94,50.8,0,0,43,23.2,11,5.9,0,0,0,0,9,4.9,91,49.2,0,0,5,2.7,73,39.5,0,0,72,38.9,185,100,7,3.8,134,72.4
"'050909","JONESBORO ISD",16,5.1,313,0,0,2,0.6,31,9.9,176,56.2,136,43.5,1,0.3,32,10.2,0,0,0,0,0,0,0,0,177,56.5,0,0,5,1.6,137,43.8,0,0,8,2.6,313,100,8,2.6,271,86.6
"'050910","COPPERAS COVE ISD",1059,13.2,8052,118,1.5,1467,18.2,662,8.2,4991,62,3992,49.6,64,0.8,2305,28.6,72,0.9,9,0.1,40,0.5,445,5.5,4060,50.4,0,0,3739,46.4,3061,38,230,2.9,4008,49.8,3856,47.9,846,10.5,3046,37.8
"'051901","PADUCAH ISD",18,9.8,183,0,0,19,10.4,16,8.7,121,66.1,90,49.2,2,1.1,87,47.5,0,0,0,0,3,1.6,1,0.5,93,50.8,0,0,6,3.3,62,33.9,0,0,104,56.8,183,100,6,3.3,68,37.2
"'052901","CRANE ISD",66,6,1099,5,0.5,16,1.5,54,4.9,604,55,525,47.8,0,0,883,80.3,0,0,18,1.6,2,0.2,213,19.4,574,52.2,0,0,8,0.7,495,45,0,0,458,41.7,780,71,3,0.3,190,17.3
"'053001","CROCKETT COUNTY CONSOLIDATED CSD",77,10.1,764,3,0.4,3,0.4,38,5,406,53.1,371,48.6,6,0.8,583,76.3,15,2,4,0.5,3,0.4,123,16.1,393,51.4,4,0.5,14,1.8,358,46.9,0,0,434,56.8,764,100,2,0.3,170,22.3
"'054901","CROSBYTON CISD",19,6,316,0,0,9,2.8,12,3.8,248,78.5,162,51.3,0,0,229,72.5,0,0,0,0,0,0,4,1.3,154,48.7,16,5.1,0,0,68,21.5,0,0,149,47.2,316,100,4,1.3,74,23.4
"'054902","LORENZO ISD",19,8.3,229,0,0,5,2.2,14,6.1,182,79.5,115,50.2,2,0.9,192,83.8,1,0.4,1,0.4,0,0,20,8.7,114,49.8,39,17,0,0,47,20.5,0,0,123,53.7,229,100,5,2.2,27,11.8
