DISTRICT,D20GR13N,D20GR13R,D30GR13N,D30GR13R,D40GR13N,D40GR13R,DA0GH13N,DA0GH13R,DA0GM13N,DA0GM13R,DA0GR13N,DA0GR13R,DAPID14N,DAPID14R,DAUND13C,DAUND13R,DB0GR13N,DB0GR13R,DH0GR13N,DH0GR13R,DI0GR13N,DI0GR13R,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR13N,DS0GR13R,DW0GR13N,DW0GR13R
'138902,0,0,0,0,0,0,5,41.7,7,58.3,12,100,0,0,0,0,2,16.7,8,66.7,0,0,64,22.8,12.5,5.9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,33.299999999999997,303,0,0,25,8.3,23,7.6,5,1.4,195,64.4,29,9.6,16,5.3,16,5.3,13,4.3,22,7.3,21,6.9,20,6.6,21,6.9,29,9.6,28,9.2,19,6.3,19,6.3,2,0.7,8,2.6,29,9.6,19,6.3,148,48.8,0,0,25,8.3,108,35.6,0,0,158,52.1,46,15.2,6,2,90,29.7,126,41.6,1,8.3000000000000007,2,16.7
'138903,3,8.8000000000000007,0,0,0,0,31,91.2,3,8.8000000000000007,34,100,0,0,0,0,4,11.8,13,38.200000000000003,0,0,37,10.9,0,0,0,0,0,4.2,0,0,7.4,0,0,.,0,0,0,0,0,0,383,0,0,24,6.3,18,4.7,2,0.5,245,64,29,7.6,23,6,29,7.6,23,6,19,5,31,8.1,31,8.1,21,5.5,34,8.9,24,6.3,20,5.2,26,6.8,7,1.8,27,7,38,9.9,28,7.3,210,54.8,0,0,24,6.3,138,36,0,0,164,42.8,67,17.5,18,4.7,103,26.9,137,35.8,2,5.9,14,41.2
'138904,0,0,0,0,0,0,2,66.7,1,33.299999999999997,3,100,0,0,0,0,0,0,0,0,0,0,32,39.5,0,0,0,0,0,0,0,0,12.5,0,0,.,.,.,0,0,0,25,95,0,0,2,2.1,1,1.1,0,0,70,73.7,12,12.6,6,6.3,7,7.4,9,9.5,7,7.4,8,8.4,4,4.2,7,7.4,10,10.5,4,4.2,1,1.1,3,3.2,0,0,4,4.2,11,11.6,6,6.3,35,36.8,0,0,2,2.1,25,26.3,0,0,34,35.8,12,12.6,1,1.1,5,5.3,58,61.1,1,33.299999999999997,3,100
'139905,3,5.2,1,1.7,0,0,39,67.2,19,32.799999999999997,58,100,0,0,1,0.2,3,5.2,1,1.7,4,6.9,97,11.7,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,28.6,897,0,0,38,4.2,43,4.8,7,0.8,435,48.5,65,7.2,69,7.7,59,6.6,67,7.5,64,7.1,56,6.2,67,7.5,73,8.1,71,7.9,70,7.8,71,7.9,71,7.9,2,0.2,43,4.8,67,7.5,25,2.8,71,7.9,21,2.3,37,4.1,462,51.5,0,0,443,49.4,90,10,21,2.3,257,28.7,741,82.6,4,6.9,46,79.3
'139908,0,0,0,0,0,0,18,72,7,28,25,100,2,1,0,0,7,28,0,0,0,0,33,18.899999999999999,0,0,0,0,0,0,0,0,0,.,0,0,0,0,.,0,0,0,172,1,0.6,2,1.2,27,15.7,9,4.4000000000000004,129,75,13,7.6,8,4.7,11,6.4,11,6.4,8,4.7,12,7,10,5.8,12,7,17,9.9,14,8.1,13,7.6,19,11,0,0,20,11.6,13,7.6,11,6.4,23,13.4,2,1.2,2,1.2,43,25,0,0,19,11,22,12.8,5,2.9,84,48.8,114,66.3,6,24,18,72
'139909,2,1.2,2,1.2,0,0,118,69,53,31,171,100,0,0,0,0,73,42.7,16,9.4,0,0,808,23.4,3.1,5.0999999999999996,1.7,1.5,1.7,1.8,0,0.4,1.2,13.9,2.6,0,0,0,0,0,0,11.6,3591,24,0.7,279,7.8,1265,35.2,167,4.2,2805,78.1,303,8.4,294,8.2,278,7.7,246,6.9,227,6.3,253,7,249,6.9,240,6.7,280,7.8,231,6.4,196,5.5,181,5,4,0.1,405,11.3,294,8.2,315,8.8,703,19.6,39,1.1,311,8.7,786,21.9,1,0,1716,47.8,371,10.3,191,5.3,828,23.1,1368,38.1,21,12.3,78,45.6
'139911,3,1.4,2,0.9,0,0,114,51.8,106,48.2,220,100,0,0,4,0.3,13,5.9,10,4.5,5,2.2999999999999998,325,11.5,4.3,8,4.3,1.1000000000000001,1.1000000000000001,0,0,1.1000000000000001,5.2,11.1,11.8,7.9,0,0,0,0,0,3.4,2883,22,0.8,59,2,146,5.1,62,2,1391,48.2,216,7.5,202,7,210,7.3,207,7.2,225,7.8,227,7.9,225,7.8,256,8.9,237,8.2,217,7.5,198,6.9,194,6.7,29,1,283,9.8,189,6.6,51,1.8,217,7.5,68,2.4,59,2,1492,51.8,5,0.2,1165,40.4,370,12.8,58,2,729,25.3,2367,82.1,30,13.6,187,85
'139912,0,0,0,0,0,0,66,73.3,24,26.7,90,100,0,0,2,0.4,1,1.1000000000000001,10,11.1,2,2.2000000000000002,151,14,4.5,1.2,4.7,1.5,1.3,1.3,0,0,2.6,0,9.1,0,0,0,0,0,0,20,1133,0,0,13,1.1,11,1,21,1.7,627,55.3,94,8.3,77,6.8,91,8,73,6.4,72,6.4,90,7.9,79,7,77,6.8,94,8.3,75,6.6,83,7.3,78,6.9,5,0.4,78,6.9,86,7.6,59,5.2,70,6.2,10,0.9,13,1.1,506,44.7,0,0,434,38.3,110,9.7,34,3,322,28.4,1008,89,10,11.1,77,85.6
'140901,0,0,0,0,0,0,8,66.7,4,33.299999999999997,12,100,0,0,1,1.3,1,8.3000000000000007,9,75,0,0,32,19.600000000000001,0,0,30,36.4,0,0,0,0,25,0,.,.,0,0,0,0,0,0,150,0,0,43,28.7,7,4.7,1,0.6,128,85.3,10,6.7,11,7.3,12,8,11,7.3,9,6,8,5.3,14,9.3,12,8,11,7.3,8,5.3,10,6.7,11,7.3,0,0,3,2,10,6.7,13,8.7,127,84.7,0,0,44,29.3,22,14.7,0,0,91,60.7,19,12.7,0,0,51,34,16,10.7,1,8.3000000000000007,2,16.7
'140904,1,1.2,0,0,0,0,67,79.8,17,20.2,84,100,1,0.1,3,0.5,6,7.1,52,61.9,0,0,148,11.5,5.5,7,2.4,1.1000000000000001,1.2,1.1000000000000001,1.2,1.1000000000000001,1.1000000000000001,25,0,0,0,7.7,0,0,14.3,0,1413,0,0,70,5,95,6.7,16,1.1000000000000001,1042,73.7,106,7.5,119,8.4,103,7.3,95,6.7,101,7.1,101,7.1,105,7.4,94,6.7,104,7.4,97,6.9,99,7,76,5.4,0,0,61,4.3,125,8.8,88,6.2,949,67.2,6,0.4,70,5,371,26.3,0,0,602,42.6,149,10.5,21,1.5,321,22.7,342,24.2,11,13.1,25,29.8
