DISTRICT,DAUND18C,DAUND18R,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRA9R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSA9R,DPERSAKR,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSAUC,DPETSAUP,DPETSBHC,DPETSBHP,DPETSIMC,DPETSINC,DPETSINP,DPETSNOC,DPETSNOP,DPETSPEC,DPETSPEP,DPETSPHC,DPETSPHP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
'136901,0,0,52,9.5,9.1,0,3.4,5,0,4.9000000000000004,0,0,0,10,.,0,0,0,25,0,0,0,0,14.3,51,9.1,558,2,0.4,22,3.9,2,0.4,7,1.1,8,1.4,319,57.2,37,6.6,32,5.7,46,8.2,38,6.8,42,7.5,43,7.7,50,9,40,7.2,45,8.1,38,6.8,50,9,36,6.5,2,0.4,45,8.1,38,6.8,21,3.8,384,68.8,1,0.2,24,4.3,239,42.8,0,0,269,48.2,8,11.9,15,22.4,67,34,50.7,0,0,67,12,10,14.9,6,1.1,171,30.6,163,29.2
'137901,10,0.7,540,17,1.5,0,1.2,0.4,1.7,3.6,5.0999999999999996,1.7,15.2,0.4,2.9,3.7,0,0,0,0,0,0,18.899999999999999,0,38,1.1,3313,25,0.8,98,3,117,3.5,90,2.4,54,1.6,2605,78.6,253,7.6,228,6.9,252,7.6,270,8.1,240,7.2,213,6.4,215,6.5,189,5.7,295,8.9,227,6.9,228,6.9,209,6.3,0,0,122,3.7,253,7.6,241,7.3,2832,85.5,2,0.1,109,3.3,708,21.4,2,0.1,1902,57.4,55,13.2,60,14.4,418,228,54.5,5,1.2,418,12.6,70,16.7,7,0.2,962,29,328,9.9
'137902,1,0.7,83,13.8,9.3000000000000007,7.6,0,1.8,1.4,0,1.6,0,.,4.2,0,0,0,0,0,0,0,0,.,0,36,5.2,689,3,0.4,17,2.5,9,1.3,5,0.7,6,0.9,400,58.1,80,11.6,67,9.7,73,10.6,77,11.2,60,8.7,77,11.2,56,8.1,63,9.1,0,0,0,0,0,0,0,0,0,0,37,5.4,75,10.9,61,8.9,577,83.7,0,0,18,2.6,289,41.9,0,0,222,32.2,11,22,-1,-1,50,-3,-3,0,0,50,7.3,24,48,4,0.6,0,0,96,13.9
'137903,0,0,46,11.2,0,4,3.4,4.3,0,0,0,0,2.9,0,0,50,66.7,0,0,0,0,0,0,50,29,6.6,438,1,0.2,19,4.3,0,0,1,0.2,13,3,290,66.2,18,4.1,17,3.9,29,6.6,28,6.4,25,5.7,27,6.2,49,11.2,36,8.2,42,9.6,34,7.8,39,8.9,43,9.8,0,0,25,5.7,19,4.3,32,7.3,327,74.7,1,0.2,19,4.3,148,33.8,0,0,176,40.2,-1,-1,5,14.7,34,20,58.8,0,0,34,7.8,-3,-3,5,1.1,206,47,104,23.7
'137904,2,0.4,60,8.4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,.,0,.,.,.,49,6.1,804,24,3,5,0.6,12,1.5,0,0,21,2.6,354,44,37,4.6,35,4.4,38,4.7,41,5.1,59,7.3,50,6.2,49,6.1,58,7.2,78,9.7,92,11.4,92,11.4,93,11.6,0,0,144,17.9,37,4.6,45,5.6,583,72.5,3,0.4,7,0.9,450,56,0,0,147,18.3,-1,-1,-1,-1,21,6,28.6,0,0,21,2.6,12,57.1,9,1.1,330,41,173,21.5
'138902,0,0,41,15.9,8.3000000000000007,9.1,0,0,0,0,0,0,3.4,18.8,0,0,0,0,.,0,0,0,0,20,23,8.6,269,3,1.1,18,6.7,9,3.3,1,0.3,20,7.4,193,71.7,18,6.7,18,6.7,11,4.1,24,8.9,18,6.7,29,10.8,13,4.8,12,4.5,9,3.3,33,12.3,21,7.8,19,7.1,5,1.9,2,0.7,14,5.2,25,9.3,144,53.5,0,0,18,6.7,76,28.3,0,0,87,32.3,-1,-1,8,21.1,38,12,31.6,-1,-1,38,14.1,14,36.8,4,1.5,81,30.1,109,40.5
'138903,0,0,58,17.3,0,0,0,0,0,0,0,0,0,9.6999999999999993,0,0,0,0,0,0,0,0,0,14.3,36,9.9,362,2,0.6,20,5.5,21,5.8,1,0.2,15,4.1,230,63.5,32,8.8,31,8.6,41,11.3,25,6.9,30,8.3,22,6.1,18,5,24,6.6,17,4.7,16,4.4,26,7.2,25,6.9,4,1.1,16,4.4,32,8.8,19,5.2,187,51.7,1,0.3,20,5.5,132,36.5,0,0,148,40.9,-1,-1,19,33.3,57,13,22.8,-1,-1,57,15.7,19,33.3,14,3.9,62,17.1,137,37.8
'138904,0,0,37,29.6,0,0,0,0,0,0,0,0,0,0,66.7,.,0,0,.,.,0,0,.,.,19,16.1,118,1,0.8,2,1.7,0,0,1,0.8,13,11,82,69.5,9,7.6,2,1.7,7,5.9,9,7.6,10,8.5,12,10.2,7,5.9,12,10.2,12,10.2,7,5.9,10,8.5,8,6.8,0,0,9,7.6,5,4.2,8,6.8,49,41.5,0,0,2,1.7,36,30.5,0,0,28,23.7,0,0,-1,-1,12,-1,-1,0,0,12,10.2,7,58.3,7,5.9,45,38.1,61,51.7
'139905,3,0.7,100,11,1.8,1.5,0,0,0,0,0,0,0,3.3,7.7,0,0,0,0,12.5,0,0,0,0,170,18,942,0,0,45,4.8,30,3.2,4,0.4,93,9.9,518,55,69,7.3,73,7.7,71,7.5,60,6.4,72,7.6,58,6.2,80,8.5,70,7.4,78,8.3,70,7.4,73,7.7,56,5.9,1,0.1,28,3,65,6.9,46,4.9,74,7.9,13,1.4,45,4.8,424,45,0,0,313,33.2,-1,-1,-3,-3,93,48,51.6,0,0,93,9.9,32,34.4,23,2.4,232,24.6,802,85.1
'139908,0,0,36,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.299999999999997,10,7.4,136,0,0,8,5.9,12,8.8,2,1,10,7.4,111,81.6,16,11.8,11,8.1,12,8.8,8,5.9,12,8.8,6,4.4,9,6.6,6,4.4,7,5.1,8,5.9,8,5.9,8,5.9,1,0.7,7,5.1,13,9.6,11,8.1,21,15.4,1,0.7,9,6.6,25,18.4,0,0,69,50.7,0,0,-1,-1,28,-3,-3,0,0,28,20.6,15,53.6,6,4.4,45,33.1,96,70.6
